prefName,tradeNames,drugType,label,targetName,approvedSymbol,targetClass,mechanismOfAction
MECLOFENAMIC ACID,[],Small molecule,"Arthralgia, Myalgia, rheumatic disease","Cyclooxygenase, Polyunsaturated fatty acid 5-lipoxygenase","ALOX5, PTGS1, PTGS2","Enzyme, Other cytosolic protein","Arachidonate 5-lipoxygenase inhibitor, Cyclooxygenase inhibitor"
MEDROXYPROGESTERONE ACETATE,"['Adgyn medro' 'Amen' 'Climanor' 'Curretab' 'Cycrin' 'Depo-progevera'
 'Depo-provera' 'Depo-provera oncology' 'Depo-subq provera 104' 'Farlutal'
 'Farlutal 100' 'Farlutal 200' 'Farlutal 250' 'Farlutal 500'
 'Medroxyprogesterone acetate'
 'Medroxyprogesterone acetate component of lunelle'
 'Medroxyprogesterone acetate component of premphase'
 'Medroxyprogesterone acetate component of prempro' 'Provera'
 'Sayana press']",Small molecule,"endometriosis, hemorrhage, hyperplasia, neoplasm, renal carcinoma",Progesterone receptor,PGR,"Transcription factor, Unclassified protein",Progesterone receptor agonist
MEDRYSONE,[],Small molecule,eye inflammation,Glucocorticoid receptor,NR3C1,Transcription factor,Glucocorticoid receptor agonist
MEFENAMIC ACID,"['Contraflam' 'Dysman-250' 'Dysman-500' 'Mefenamic acid' 'Meflam 250'
 'Meflam 500' 'Mendys' 'Opustan 250' 'Opustan 500' 'Ponstan' 'Ponstan fte'
 'Ponstel']",Small molecule,"Dysmenorrhea, rheumatic disease",Cyclooxygenase,"PTGS1, PTGS2",Enzyme,Cyclooxygenase inhibitor
MEGESTROL ACETATE,['Megace' 'Megace es' 'Megestrol acetate'],Small molecule,"AIDS, Anorexia, Cachexia, cancer, inborn error of immunity, neoplasm",Progesterone receptor,PGR,"Transcription factor, Unclassified protein",Progesterone receptor agonist
MELATONIN,"['Circadin' 'General nutrit' 'Health aid' 'Heidadouppi' 'Icenia'
 'Life ext' 'Melapure' 'Melatonin neurim' 'Natrol' ""Nature's blend""
 'Natures bounty' 'Quality health' 'S.gard' 'Slenyto' 'Travelag' 'Vespro'
 'Vytalonin']",Small molecule,insomnia,Melatonin receptor,"MTNR1A, MTNR1B",Membrane receptor,Melatonin receptor agonist
MELOXICAM,"['Acticam' 'Anjeso' 'Contacera' 'Emdocam' 'Flexicam' 'Inflacam' 'Loxicom'
 'Loxitab' 'Melosus' 'Melovem' 'Meloxicam'
 'Meloxicam component of zeleris' 'Meloxicam component of zynrelef'
 'Meloxidolor' 'Meloxidyl' 'Meloxivet' 'Meloxoral' 'Metacam' 'Mobic'
 'Novaquin' 'Novem' 'Qmiiz odt' 'Recocam' 'Revitacam' 'Rheumocam'
 'Vivlodex']",Small molecule,"juvenile idiopathic arthritis, osteoarthritis, rheumatic disease, rheumatoid arthritis",Prostaglandin G/H synthase 2,PTGS2,Enzyme,Cyclooxygenase-2 inhibitor
MEMANTINE,[],Small molecule,Dementia,Glutamate [NMDA] receptor,"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B",Ion channel,Glutamate [NMDA] receptor negative allosteric modulator
MEMANTINE HYDROCHLORIDE,"['Akatinol' 'Axura' 'Ebixa' 'Marixino' 'Marixino (previously maruxa)'
 'Memantine accord' 'Memantine hydrochloride'
 'Memantine hydrochloride component of namzaric' 'Memantine lek'
 'Memantine merz' 'Memantine mylan' 'Memantine ratiopharm' 'Namenda'
 'Namenda xr' 'Nemdatine' 'Valios']",Small molecule,"Alzheimer disease, Dementia",Glutamate [NMDA] receptor,"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B",Ion channel,Glutamate [NMDA] receptor negative allosteric modulator
MENTHOL,"['Aqua-cool' 'Aquasoothe' 'Arjun' 'Catarrh' 'Dermacool' 'Halls' 'Karvol'
 'Lockets' 'Meggezones' 'Menthol component of salonpas' 'Muirs'
 'Tixylix decongestant inh' 'Vocalzone']",Small molecule,"Arthralgia, Back pain, Cough, Headache, Muscle spasm, Myalgia, Nasal congestion, Oral ulcer, Pain, Pruritus, Tendinopathy, arthritis, asthma, bronchitis, burn, bursitis, common cold, frozen shoulder, hemorrhoid, herpes labialis, injury, muscle cramp, osteoarthritis, pharyngitis, skin infection, sprain, sunburn, tendinitis","Transient receptor potential cation channel subfamily A member 1, Transient receptor potential cation channel subfamily M member 8","TRPA1, TRPM8",Ion channel,"Transient receptor potential cation channel subfamily A member 1 opener, Transient receptor potential cation channel subfamily M member 8 opener"
MEPENZOLATE,[],Small molecule,gastrointestinal disease,"Muscarinic acetylcholine receptor M1, Muscarinic acetylcholine receptor M3","CHRM1, CHRM3",Membrane receptor,"Muscarinic acetylcholine receptor M1 antagonist, Muscarinic acetylcholine receptor M3 antagonist"
MEPERIDINE,[],Small molecule,Pain,Mu-type opioid receptor,OPRM1,Membrane receptor,Mu opioid receptor agonist
MEPERIDINE HYDROCHLORIDE,"['Demerol' 'Meperidine hydrochloride'
 'Meperidine hydrochloride component of mepergan'
 'Meperidine hydrochloride preservative free' 'Pamergan' 'Pethilorfan'
 'Spasmodlin']",Small molecule,"Pain, drug dependence",Mu-type opioid receptor,OPRM1,Membrane receptor,Mu opioid receptor agonist
MEPHENTERMINE,[],Small molecule,cardiovascular disease,Adrenergic receptor,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3",Membrane receptor,Adrenergic receptor agonist
MEPHENYTOIN,['Mesantoin'],Small molecule,epilepsy,Sodium channel alpha subunit,"SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A","Ion channel, Unclassified protein",Sodium channel alpha subunit blocker
MEPOLIZUMAB,['Bosatria' 'Nucala'],Antibody,"Airway obstruction, Hypereosinophilic syndrome, asthma, chronic rhinosinusitis, vasculitis",Interleukin-5,IL5,Secreted protein,Interleukin-5 inhibitor
MEPROBAMATE,"['Amosene' 'Bamate' 'Equanil' 'Mepriam' 'Meprobamate'
 'Meprobamate component of equagesic'
 'Meprobamate component of mepro-aspirin'
 'Meprobamate component of micrainin' 'Meprobamate component of q-gesic'
 'Meprospan' 'Miltown' 'Neuramate' 'Tenavoid' 'Tranmep']",Small molecule,"Anxiety, anxiety disorder",GABA-A receptor; anion channel,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3",Ion channel,GABA-A receptor; anion channel agonist
MEPTAZINOL,[],Small molecule,Pain,Mu-type opioid receptor,OPRM1,Membrane receptor,Mu opioid receptor partial agonist
MEQUITAZINE,['Primalan'],Small molecule,allergic disease,Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
MERCAPTOPURINE,"['Mercaptopurine' 'Puri-nethol' 'Purinethol' 'Purixan' 'Xaluprine'
 'Xaluprine (previously mercaptopurine nova laboratories)']",Small molecule,"acute lymphoblastic leukemia, lymphoid leukemia, neoplasm",Amidophosphoribosyltransferase,PPAT,Enzyme,Amidophosphoribosyltransferase inhibitor
MESALAMINE,"['Apriso' 'Asacol' 'Asacol hd' 'Canasa' 'Coltec ec' 'Delzicol' 'Ipocol'
 'Lialda' 'Mesalamine' 'Mesren mr' 'Mezavant xl' 'Octasa' 'Pentasa'
 'Pentasa sr' 'Rowasa' 'Salofalk' 'Sfrowasa']",Small molecule,"proctitis, ulcerative colitis","Cyclooxygenase, Peroxisome proliferator-activated receptor gamma, Polyunsaturated fatty acid 5-lipoxygenase","ALOX5, PPARG, PTGS1, PTGS2","Enzyme, Epigenetic regulator, Other cytosolic protein, Transcription factor","Arachidonate 5-lipoxygenase inhibitor, Cyclooxygenase inhibitor, Peroxisome proliferator-activated receptor gamma agonist"
MESORIDAZINE,['Lidanar'],Small molecule,psychosis,"5-hydroxytryptamine receptor 2A, D(2) dopamine receptor","DRD2, HTR2A",Membrane receptor,"Dopamine D2 receptor antagonist, Serotonin 2a (5-HT2a) receptor antagonist"
METAPROTERENOL SULFATE,['Alupent' 'Alupent obstetric' 'Metaproterenol sulfate' 'Prometa'],Small molecule,asthma,Beta-2 adrenergic receptor,ADRB2,Membrane receptor,Beta-2 adrenergic receptor agonist
METARAMINOL,[],Small molecule,cardiovascular disease,Adrenergic receptor alpha-1,"ADRA1A, ADRA1B, ADRA1D",Membrane receptor,Adrenergic receptor alpha-1 agonist
METFORMIN,[],Small molecule,diabetes mellitus,"Glycerol-3-phosphate dehydrogenase, mitochondrial, Mitochondrial complex I (NADH dehydrogenase)","COXFA4, COXFA4L2, GPD2, MT-ND1, MT-ND2, MT-ND3, MT-ND4, MT-ND4L, MT-ND5, MT-ND6, NDUFA1, NDUFA10, NDUFA11, NDUFA12, NDUFA13, NDUFA2, NDUFA3, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFAF1, NDUFAF2, NDUFAF3, NDUFAF4, NDUFB1, NDUFB10, NDUFB11, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2, NDUFV3",Enzyme,"Mitochondrial complex I (NADH dehydrogenase) inhibitor, Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor"
METFORMIN HYDROCHLORIDE,"['Bolamyn sr' 'Diagemet xl' 'Fortamet' 'Glucamet 500' 'Glucamet 850'
 'Glucient sr' 'Glucophage' 'Glucophage sr' 'Glucophage xr' 'Glumetza'
 'Glyformin' 'Ledermetin' 'Metabet sr' 'Metformin hydrochloride'
 'Metformin hydrochloride component of actoplus met'
 'Metformin hydrochloride component of avandamet'
 'Metformin hydrochloride component of glucovance'
 'Metformin hydrochloride component of invokamet'
 'Metformin hydrochloride component of janumet'
 'Metformin hydrochloride component of jentadueto'
 'Metformin hydrochloride component of kazano'
 'Metformin hydrochloride component of kombiglyze xr'
 'Metformin hydrochloride component of metaglip'
 'Metformin hydrochloride component of prandimet'
 'Metformin hydrochloride component of qternmet'
 'Metformin hydrochloride component of qternmet xr'
 'Metformin hydrochloride component of segluromet'
 'Metformin hydrochloride component of synjardy'
 'Metformin hydrochloride component of trijardy xr'
 'Metformin hydrochloride component of xigduo'
 'Metformin hydrochloride component of zituvimet' 'Metsol' 'Milform'
 'Orabet' 'Riomet' 'Riomet er' 'Sukkarto sr']",Small molecule,"diabetes mellitus, type 2 diabetes mellitus","Glycerol-3-phosphate dehydrogenase, mitochondrial, Mitochondrial complex I (NADH dehydrogenase)","COXFA4, COXFA4L2, GPD2, MT-ND1, MT-ND2, MT-ND3, MT-ND4, MT-ND4L, MT-ND5, MT-ND6, NDUFA1, NDUFA10, NDUFA11, NDUFA12, NDUFA13, NDUFA2, NDUFA3, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFAF1, NDUFAF2, NDUFAF3, NDUFAF4, NDUFB1, NDUFB10, NDUFB11, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2, NDUFV3",Enzyme,"Mitochondrial complex I (NADH dehydrogenase) inhibitor, Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor"
METHACHOLINE CHLORIDE,['Provocholine'],Small molecule,asthma,Muscarinic acetylcholine receptor M3,CHRM3,Membrane receptor,Muscarinic acetylcholine receptor M3 agonist
METHADONE,[],Small molecule,"Pain, drug dependence",Mu-type opioid receptor,OPRM1,Membrane receptor,Mu opioid receptor agonist
METHADONE HYDROCHLORIDE,"['Adanon hydrochloride' 'Dolophine hydrochloride' 'Eptadone' 'Martindale'
 'Methadone hydrochloride' 'Methadone hydrochloride intensol' 'Methadose'
 'Metharose' 'Methex' 'Physeptone' 'Pinadone' 'Synastone' 'Westadone']",Small molecule,"Pain, drug dependence, opioid dependence",Mu-type opioid receptor,OPRM1,Membrane receptor,Mu opioid receptor agonist
METHAMPHETAMINE,[],Small molecule,attention deficit hyperactivity disorder,Monoamine transporter,"SLC6A2, SLC6A3, SLC6A4",Transporter,Monoamine transporter inhibitor
METHAMPHETAMINE HYDROCHLORIDE,['Desoxyn' 'Methampex' 'Methamphetamine hydrochloride'],Small molecule,attention deficit hyperactivity disorder,Monoamine transporter,"SLC6A2, SLC6A3, SLC6A4",Transporter,Monoamine transporter inhibitor
METHANTHELINE,[],Small molecule,gastrointestinal disease,Histamine H2 receptor,HRH2,Membrane receptor,Histamine H2 receptor antagonist
METHAPYRILENE,[],Small molecule,allergic disease,Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
METHARBITAL,['Gemonil'],Small molecule,epilepsy,GABA-A receptor; anion channel,"GABRB1, GABRB2, GABRB3",Ion channel,GABA-A receptor; anion channel positive allosteric modulator
METHAZOLAMIDE,['Methazolamide' 'Neptazane'],Small molecule,"glaucoma, open-angle glaucoma","Carbonic anhydrase 1, Carbonic anhydrase 2, Carbonic anhydrase 4, Carbonic anhydrase 7","CA1, CA2, CA4, CA7",Enzyme,"Carbonic anhydrase I inhibitor, Carbonic anhydrase II inhibitor, Carbonic anhydrase IV inhibitor, Carbonic anhydrase VII inhibitor"
METHDILAZINE,['Tacaryl'],Small molecule,allergic disease,Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
METHIMAZOLE,['Favistan' 'Methimazole' 'Tapazole'],Small molecule,"Abnormality of the thyroid gland, hyperthyroidism",Thyroid peroxidase,TPO,Enzyme,Thyroid peroxidase inhibitor
METHIXENE,[],Small molecule,Parkinson disease,"5-hydroxytryptamine receptor 2C, Muscarinic acetylcholine receptor M1","CHRM1, HTR2C",Membrane receptor,"Muscarinic acetylcholine receptor M1 antagonist, Serotonin 2c (5-HT2c) receptor antagonist"
METHOTREXATE,"['Ebetrex' 'Emtexate high-pot' 'Emtexate pf' 'Jylamvo' 'Maxtrex'
 'Metoject' 'Nordimet' 'Otrexup' 'Otrexup pfs' 'Rasuvo' 'Reditrex'
 'Zlatal']",Small molecule,"acute lymphoblastic leukemia, arthritis, breast cancer, breast carcinoma, immune system disease, juvenile idiopathic arthritis, leptomeningeal metastasis, mycosis fungoides, neoplasm, non-Hodgkins lymphoma, psoriasis, psoriasis vulgaris, psoriatic arthritis, rheumatoid arthritis",Dihydrofolate reductase,DHFR,Enzyme,Dihydrofolate reductase inhibitor
METHOTREXATE SODIUM,"['Abitrexate' 'Folex' 'Folex pfs' 'Methotrexate lpf'
 'Methotrexate preservative free' 'Methotrexate sodium'
 'Methotrexate sodium preservative free' 'Mexate' 'Mexate-aq'
 'Mexate-aq preserved' 'Trexall' 'Xatmep']",Small molecule,"adenoma, arthritis, breast cancer, choriocarcinoma, fungal infectious disease, juvenile idiopathic arthritis, leptomeningeal metastasis, lung cancer, non-Hodgkins lymphoma, psoriasis, rheumatoid arthritis",Dihydrofolate reductase,DHFR,Enzyme,Dihydrofolate reductase inhibitor
METHOXAMINE,[],Small molecule,cardiovascular disease,Adrenergic receptor alpha-1,"ADRA1A, ADRA1B, ADRA1D",Membrane receptor,Adrenergic receptor alpha-1 agonist
METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,['Mircera'],Protein,"anemia, anemia (phenotype), chronic kidney disease",Erythropoietin receptor,EPOR,Membrane receptor,Erythropoietin receptor agonist
METHOXYFLURANE,['Metofane' 'Penthrane' 'Pentrane'],Small molecule,"Fever, Pain","GABA-A receptor; anion channel, Glycine receptor (alpha-1/beta)","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GLRA1",Ion channel,"GABA-A receptor; anion channel positive modulator, Glycine receptor (alpha-1/beta) agonist"
METHSUXIMIDE,['Celontin'],Small molecule,"Seizure, epilepsy",Voltage-gated T-type calcium channel,"CACNA1G, CACNA1H, CACNA1I","Auxiliary transport protein, Ion channel",Voltage-gated T-type calcium channel blocker
METHYCLOTHIAZIDE,"['Aquatensen' 'Enduron' 'Methyclothiazide'
 'Methyclothiazide component of diutensen-r'
 'Methyclothiazide component of enduronyl'
 'Methyclothiazide component of eutron']",Small molecule,cardiovascular disease,Solute carrier family 12 member 3,SLC12A3,Transporter,Thiazide-sensitive sodium-chloride cotransporter inhibitor
METHYLDOPA,"['Aldomet' 'Dopamet' 'Dopegyt' 'Lederdopa' 'Medomet' 'Medopren'
 'Metalpha 250' 'Metalpha 500' 'Methyldopa'
 'Methyldopa component of aldoril' 'Presinol']",Small molecule,hypertension,Adrenergic receptor alpha-2,"ADRA2A, ADRA2B, ADRA2C",Membrane receptor,Adrenergic receptor alpha-2 agonist
METHYLERGONOVINE MALEATE,['Methergine' 'Methylergonovine maleate'],Small molecule,hemorrhage,"5-hydroxytryptamine receptor 2B, D(1A) dopamine receptor","DRD1, HTR2B",Membrane receptor,"Dopamine D1 receptor antagonist, Serotonin 2b (5-HT2b) receptor partial agonist"
METHYLNALTREXONE BROMIDE,['Relistor'],Small molecule,"Constipation, opioid dependence",Mu-type opioid receptor,OPRM1,Membrane receptor,Mu opioid receptor antagonist
METHYLPHENIDATE,['Cotempla xr-odt' 'Daytrana'],Small molecule,"attention deficit hyperactivity disorder, narcolepsy-cataplexy syndrome","Sodium-dependent dopamine transporter, Sodium-dependent noradrenaline transporter","SLC6A2, SLC6A3",Transporter,"Dopamine transporter inhibitor, Norepinephrine transporter inhibitor"
METHYLPHENIDATE HYDROCHLORIDE,"['Adhansia xr' 'Aptensio xr' 'Concerta' 'Delmosart' 'Equasym' 'Equasym xl'
 'Jornay pm' 'Matoride xl' 'Medikinet' 'Medikinet xl' 'Metadate cd'
 'Metadate er' 'Methylin' 'Methylin er' 'Methylphenidate hydrochloride'
 'Quillichew er' 'Quillivant xr' 'Relexxii' 'Ritalin' 'Ritalin la'
 'Ritalin sr' 'Ritalin-sr' 'Tranquilyn' 'Xenidate xl']",Small molecule,attention deficit hyperactivity disorder,"Sodium-dependent dopamine transporter, Sodium-dependent noradrenaline transporter","SLC6A2, SLC6A3",Transporter,"Dopamine transporter inhibitor, Norepinephrine transporter inhibitor"
METHYLPREDNISOLONE,"['Medrol' 'Medrone' 'Methylprednisolone'
 'Methylprednisolone component of neo-medrol']",Small molecule,"Crohn's disease, acne, asthma, atopic eczema, bursitis, endocrine system disease, frozen shoulder, inflammation, juvenile idiopathic arthritis, multiple sclerosis, osteoarthritis, pneumonia, posterior uveitis, psoriatic arthritis, rheumatoid arthritis, tenosynovitis, ulcerative colitis",Glucocorticoid receptor,NR3C1,Transcription factor,Glucocorticoid receptor agonist
METHYLPREDNISOLONE ACETATE,"['Depo-medrol' 'Depo-medrone' 'M-predrol' 'Medrol acetate'
 'Methylprednisolone acetate'
 'Methylprednisolone acetate component of neo-medrol acetate'
 'Neo-medrone']",Small molecule,"anemia, asthma, brain neoplasm, dermatitis, frozen shoulder, fungal infectious disease, leukemia, lymphoma, nephrotic syndrome, osteoarthritis, rheumatoid arthritis, type III hypersensitivity reaction disease, uveitis",Glucocorticoid receptor,NR3C1,Transcription factor,Glucocorticoid receptor agonist
METHYLPREDNISOLONE SODIUM SUCCINATE,"['A-methapred' 'Methylprednisolone sodium succinate' 'Min-i-mix'
 'Solu-medrol' 'Solu-medrone' 'Urbasone']",Small molecule,"anemia, asthma, dermatitis, leukemia, lymphoma, multiple sclerosis, rheumatoid arthritis, type III hypersensitivity reaction disease",Glucocorticoid receptor,NR3C1,Transcription factor,Glucocorticoid receptor agonist
METHYLPROMAZINE,[],Small molecule,allergic disease,Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
METHYLTESTOSTERONE,"['Android' 'Android 10' 'Android 25' 'Android 5' 'Metandren' 'Methitest'
 'Methyltestosterone' 'Oreton' 'Oreton methyl' 'Perandren' 'Plex hormone'
 'Potensan fte' 'Testovis' 'Testred' 'Virilon']",Small molecule,"breast cancer, hypogonadism, orchitis",Androgen receptor,AR,Transcription factor,Androgen Receptor agonist
METIPRANOLOL,['Glauline'],Small molecule,glaucoma,"Beta-1 adrenergic receptor, Beta-2 adrenergic receptor","ADRB1, ADRB2",Membrane receptor,"Beta-1 adrenergic receptor antagonist, Beta-2 adrenergic receptor antagonist"
METOCLOPRAMIDE,[],Small molecule,gastrointestinal disease,"5-hydroxytryptamine receptor 3A, 5-hydroxytryptamine receptor 4, D(2) dopamine receptor","DRD2, HTR3A, HTR4","Ion channel, Membrane receptor","Dopamine D2 receptor antagonist, Serotonin 3a (5-HT3a) receptor antagonist, Serotonin 4 (5-HT4) receptor agonist"
METOCLOPRAMIDE HYDROCHLORIDE,"['""clopra-""""yellow""""""' 'Clopra' 'Gastrese l.a.' 'Gastrobid continus'
 'Gastroflux' 'Gastromax' 'Gimoti' 'Maxolon' 'Maxolon sr' 'Metoclomex'
 'Metoclopramide hydrochloride' 'Metoclopramide intensol' 'Metox'
 'Metozolv odt' 'Metramid' 'Mygdalon' 'Parmid' 'Primperan' 'Reglan'
 'Reglan odt']",Small molecule,"Anorexia, Nausea and vomiting, Vomiting, cancer, gastroparesis, kidney failure, post operative nausea and vomiting","5-hydroxytryptamine receptor 3A, 5-hydroxytryptamine receptor 4, D(2) dopamine receptor","DRD2, HTR3A, HTR4","Ion channel, Membrane receptor","Dopamine D2 receptor antagonist, Serotonin 3a (5-HT3a) receptor antagonist, Serotonin 4 (5-HT4) receptor agonist"
METOLAZONE,['Diulo' 'Metenix' 'Metolazone' 'Mykrox' 'Xuret' 'Zaroxolyn'],Small molecule,"cardiovascular disease, congestive heart failure, heart failure, hypertension, preeclampsia",Solute carrier family 12 member 3,SLC12A3,Transporter,Thiazide-sensitive sodium-chloride cotransporter inhibitor
METOPROLOL,[],Small molecule,cardiovascular disease,Beta-1 adrenergic receptor,ADRB1,Membrane receptor,Beta-1 adrenergic receptor antagonist
METOPROLOL SUCCINATE,"['Kapspargo sprinkle' 'Metoprolol succinate'
 'Metoprolol succinate component of dutoprol' 'Toprol' 'Toprol-xl']",Small molecule,"angina pectoris, congestive heart failure, heart failure, hypertension, myocardial infarction, stroke",Beta-1 adrenergic receptor,ADRB1,Membrane receptor,Beta-1 adrenergic receptor antagonist
METOPROLOL TARTRATE,"['Arbralene' 'Beloc cor' 'Betaloc' 'Betaloc s.a.' 'Lopresor' 'Lopresor sr'
 'Lopressor' 'Mepranix 100' 'Mepranix 50' 'Metoprolol tartrate'
 'Metoprolol tartrate component of lopressidone'
 'Metoprolol tartrate component of lopressor hct' 'Tensomex' 'Toprol xl']",Small molecule,"angina pectoris, heart failure, hypertension, myocardial infarction, stroke",Beta-1 adrenergic receptor,ADRB1,Membrane receptor,Beta-1 adrenergic receptor antagonist
METRELEPTIN,['Myalepta'],Protein,"familial partial lipodystrophy, lipodystrophy, liver disease",Leptin receptor,LEPR,Unclassified protein,Leptin receptor agonist
METYROSINE,['Demser'],Small molecule,"adrenal gland pheochromocytoma, hypertension",Tyrosine 3-monooxygenase,TH,Enzyme,Tyrosine 3-hydroxylase inhibitor
MEXILETINE,[],Small molecule,cardiac arrhythmia,Sodium channel alpha subunit,"SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A","Ion channel, Unclassified protein",Sodium channel alpha subunit blocker
MEXILETINE HYDROCHLORIDE,['Mexiletine hydrochloride' 'Mexitil' 'Mexitil p.l.' 'Namuscla'],Small molecule,"Ventricular arrhythmia, myotonic syndrome",Sodium channel alpha subunit,"SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A","Ion channel, Unclassified protein",Sodium channel alpha subunit blocker
MIBEFRADIL,['Posicor 100' 'Posicor 50'],Small molecule,cardiovascular disease,Voltage-gated T-type calcium channel,"CACNA1G, CACNA1H, CACNA1I","Auxiliary transport protein, Ion channel",Voltage-gated T-type calcium channel blocker
MIDAZOLAM,"['Midazolam in 0.8% sodium chloride' 'Midazolam in 0.9% sodium chloride'
 'Nayzilam']",Small molecule,"epilepsy, status epilepticus",GABA-A receptor; anion channel,"GABRA1, GABRA2, GABRA3, GABRA5, GABRG1, GABRG2, GABRG3",Ion channel,GABA-A receptor; anion channel positive allosteric modulator
MIDAZOLAM HYDROCHLORIDE,"['Buccolam' 'Hypnovel' 'Midazolam hydrochloride'
 'Midazolam hydrochloride (autoinjector)'
 'Midazolam hydrochloride preservative free' 'Midozalam hydrochloride'
 'Seizalam' 'Versed']",Small molecule,amnesia,GABA-A receptor; anion channel,"GABRA1, GABRA2, GABRA3, GABRA5, GABRG1, GABRG2, GABRG3",Ion channel,GABA-A receptor; anion channel positive allosteric modulator
MIDODRINE,[],Small molecule,cardiovascular disease,Adrenergic receptor alpha-1,"ADRA1A, ADRA1B, ADRA1D",Membrane receptor,Adrenergic receptor alpha-1 agonist
MIDOSTAURIN,['Rydapt'],Small molecule,"Mastocytosis, acute myeloid leukemia, mast-cell leukemia, neoplasm, systemic mastocytosis","Mast/stem cell growth factor receptor Kit, Platelet-derived growth factor receptor, Protein kinase C (PKC), Receptor-type tyrosine-protein kinase FLT3, Vascular endothelial growth factor receptor 2","FLT3, KDR, KIT, PDGFRA, PDGFRB, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCH, PRKCI, PRKCQ, PRKCZ, PRKD1, PRKD3","Enzyme, Unclassified protein","Platelet-derived growth factor receptor inhibitor, Protein kinase C (PKC) inhibitor, Stem cell growth factor receptor inhibitor, Tyrosine-protein kinase receptor FLT3 inhibitor, Vascular endothelial growth factor receptor 2 inhibitor"
MIFAMURTIDE,['Mepact'],Small molecule,"bone osteosarcoma, neoplasm",Nucleotide-binding oligomerization domain-containing protein 2,NOD2,Unclassified protein,Nucleotide-binding oligomerization domain-containing protein 2 other
MIFEPRISTONE,['Korlym' 'Mifegyne' 'Mifeprex'],Small molecule,Cushing syndrome,"Glucocorticoid receptor, Progesterone receptor","NR3C1, PGR","Transcription factor, Unclassified protein","Glucocorticoid receptor antagonist, Progesterone receptor antagonist"
MIGALASTAT HYDROCHLORIDE,['Galafold'],Small molecule,Fabry disease,Alpha-galactosidase A,GLA,Enzyme,Alpha-galactosidase A stabiliser
MIGLITOL,['Diastabol' 'Glyset' 'Miglitol'],Small molecule,"diabetes mellitus, type 2 diabetes mellitus","Lysosomal alpha-glucosidase, Maltase-glucoamylase","GAA, MGAM",Enzyme,"Lysosomal alpha-glucosidase inhibitor, Maltase-glucoamylase inhibitor"
MIGLUSTAT,['Miglustat dipharma' 'Miglustat gen.orph' 'Opfolda' 'Yargesa' 'Zavesca'],Small molecule,Gaucher disease,Ceramide glucosyltransferase,UGCG,Enzyme,Ceramide glucosyltransferase inhibitor
MILNACIPRAN HYDROCHLORIDE,['Dalcipran' 'Ixel' 'Milnacipran hydrochloride' 'Savella' 'Toledomin'],Small molecule,fibromyalgia,"Sodium-dependent noradrenaline transporter, Sodium-dependent serotonin transporter","SLC6A2, SLC6A4",Transporter,"Norepinephrine transporter inhibitor, Serotonin transporter inhibitor"
MILRINONE,[],Small molecule,cardiovascular disease,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",PDE3A,Enzyme,Phosphodiesterase 3A inhibitor
MILRINONE LACTATE,['Milrinone lactate' 'Primacor'],Small molecule,"Ventricular arrhythmia, heart failure","cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",PDE3A,Enzyme,Phosphodiesterase 3A inhibitor
