prefName,tradeNames,drugType,label,targetName,approvedSymbol,targetClass,mechanismOfAction
TAMSULOSIN HYDROCHLORIDE,"['Alphacard mr' 'Bazetham mr' 'Contiflo xl' 'Cositam xl' 'Diffundox'
 'Faramsil' 'Flectone xl' 'Flomax' 'Flomax mr' 'Flomax relief mr'
 'Flomaxtra xl' 'Galebon' 'Losinate mr' 'Maxtron' 'Morvesin xl' 'Omnic mr'
 'Pamsvax xl' 'Petyme' 'Pinexel pr' 'Prosurin xl' 'Stronazon' 'Tabphyn mr'
 'Tamfrex xl' 'Tamsulosin hydrochloride'
 'Tamsulosin hydrochloride component of jalyn' 'Tamurex']",Small molecule,"benign prostatic hyperplasia, prostate carcinoma",Adrenergic receptor alpha-1,"ADRA1A, ADRA1B, ADRA1D",Membrane receptor,Adrenergic receptor alpha-1 antagonist
TAPENTADOL,[],Small molecule,Pain,"Mu-type opioid receptor, Sodium-dependent noradrenaline transporter","OPRM1, SLC6A2","Membrane receptor, Transporter","Mu opioid receptor agonist, Norepinephrine transporter inhibitor"
TAPENTADOL HYDROCHLORIDE,['Nucynta' 'Nucynta er' 'Palexia'],Small molecule,"Chronic pain, Pain, neuropathic pain","Mu-type opioid receptor, Sodium-dependent noradrenaline transporter","OPRM1, SLC6A2","Membrane receptor, Transporter","Mu opioid receptor agonist, Norepinephrine transporter inhibitor"
TAPINAROF,['Vtama'],Small molecule,psoriasis,Aryl hydrocarbon receptor,AHR,"Transcription factor, Unclassified protein",Aryl hydrocarbon receptor agonist
TASIMELTEON,['Hetlioz' 'Hetlioz lq'],Small molecule,"Chromosomal anomaly, circadian rhythm sleep disorder, sleep-wake disorder",Melatonin receptor,"MTNR1A, MTNR1B",Membrane receptor,Melatonin receptor agonist
TAZAROTENE,"['Arazlo' 'Avage' 'Fabior' 'Tazarotene component of duobrii'
 'Tazarotene component of idp-118' 'Tazorac' 'Zorac']",Small molecule,"Genetic hypopigmentation of the skin, acne, psoriasis, psoriasis vulgaris",Retinoic acid receptor,"RARA, RARB, RARG","Enzyme, Transcription factor",Retinoic acid receptor agonist
TAZEMETOSTAT,[],Small molecule,neoplasm,Histone-lysine N-methyltransferase EZH2,EZH2,"Epigenetic regulator, Unclassified protein",Histone-lysine N-methyltransferase EZH2 inhibitor
TAZEMETOSTAT HYDROBROMIDE,['Tazverik'],Small molecule,"follicular lymphoma, sarcoma",Histone-lysine N-methyltransferase EZH2,EZH2,"Epigenetic regulator, Unclassified protein",Histone-lysine N-methyltransferase EZH2 inhibitor
TEBENTAFUSP,['Kimmtrak'],Protein,"melanoma, neoplasm, uveal cancer",Melanocyte protein PMEL,PMEL,Unclassified protein,Melanocyte protein PMEL binding agent
TECLISTAMAB,['Tecvayli'],Antibody,multiple myeloma,"T cell surface glycoprotein CD3, Tumor necrosis factor receptor superfamily member 17","CD3D, CD3E, CD3G, TNFRSF17","Membrane receptor, Unclassified protein","T cell surface glycoprotein CD3 binding agent, Tumor necrosis factor receptor superfamily member 17 binding agent"
TEDUGLUTIDE,['Gattex kit' 'Revestive'],Protein,"malabsorption syndrome, primary short bowel syndrome, short bowel syndrome",Glucagon-like peptide 2 receptor,GLP2R,Membrane receptor,Glucagon-like peptide 2 receptor agonist
TEGAFUR,"['Citofur' 'Riol' 'Tegafur component of s-1'
 'Tegafur component of teysuno' 'Tegafur component of ts-1' 'Uftoral']",Small molecule,neoplasm,Thymidylate synthase,TYMS,Enzyme,Thymidylate synthase inhibitor
TEGASEROD,[],Small molecule,Constipation,5-hydroxytryptamine receptor 4,HTR4,Membrane receptor,Serotonin 4 (5-HT4) receptor partial agonist
TEGASEROD MALEATE,['Zelmac' 'Zelnorm'],Small molecule,"constipation disorder, irritable bowel syndrome",5-hydroxytryptamine receptor 4,HTR4,Membrane receptor,Serotonin 4 (5-HT4) receptor partial agonist
TELMISARTAN,"['Kinzalmono (previously telmisartan boehringer ingelheim pharma kg)'
 'Micardis' 'Pritor' 'Semintra' 'Telmisartan' 'Telmisartan actavis'
 'Telmisartan component of kinzalkomb'
 'Telmisartan component of micardis hct'
 'Telmisartan component of micardisplus'
 'Telmisartan component of onduarp' 'Telmisartan component of pritorplus'
 'Telmisartan component of tolucombi' 'Telmisartan component of twynsta'
 'Telmisartan teva' 'Telmisartan teva pharma' 'Tolura']",Small molecule,"cardiovascular disease, diabetes mellitus, hypertension, myocardial infarction, stroke",Type-1 angiotensin II receptor,AGTR1,Membrane receptor,Type-1 angiotensin II receptor antagonist
TELOTRISTAT ETIPRATE,['Xermelo'],Small molecule,"Diarrhea, carcinoid tumor, neuroendocrine neoplasm",Tryptophan 5-hydroxylase,"TPH1, TPH2",Enzyme,Tryptophan 5-hydroxylase inhibitor
TEMAZEPAM,['Kentepam' 'Normison' 'Restoril' 'Temaz' 'Temazepam'],Small molecule,insomnia,GABA-A receptor; anion channel,"GABRA1, GABRA2, GABRA3, GABRA5, GABRG1, GABRG2, GABRG3",Ion channel,GABA-A receptor; anion channel positive allosteric modulator
TEMSIROLIMUS,['Torisel'],Small molecule,"Mantle cell lymphoma, neoplasm, renal cell carcinoma",Peptidyl-prolyl cis-trans isomerase FKBP1A,FKBP1A,Enzyme,FK506-binding protein 1A inhibitor
TENAPANOR,['Tenapanor component of rdx-013' 'Tenapanor component of rdx013'],Small molecule,Constipation,Sodium/hydrogen exchanger 3,SLC9A3,Transporter,Sodium/hydrogen exchanger 3 inhibitor
TENAPANOR HYDROCHLORIDE,['Ibsrela' 'Xphozah'],Small molecule,"constipation disorder, irritable bowel syndrome",Sodium/hydrogen exchanger 3,SLC9A3,Transporter,Sodium/hydrogen exchanger 3 inhibitor
TENECTEPLASE,['Metalyse' 'Tenecteplase boehringer ingelheim pharma gmbh  co. kg'],Enzyme,"Recurrent thrombophlebitis, acute myocardial infarction, myocardial infarction",Tissue-type plasminogen activator,PLAT,Enzyme,Tissue-type plasminogen activator exogenous protein
TENELIGLIPTIN,[],Small molecule,diabetes mellitus,Dipeptidyl peptidase 4,DPP4,Enzyme,Dipeptidyl peptidase IV inhibitor
TENIPOSIDE,['Vumon'],Small molecule,neoplasm,DNA topoisomerase II,"TOP2A, TOP2B",Enzyme,DNA topoisomerase II inhibitor
TEPLIZUMAB,['Tzield'],Antibody,type 1 diabetes mellitus,T-cell surface glycoprotein CD3 epsilon chain,CD3E,"Membrane receptor, Unclassified protein",T-cell surface glycoprotein CD3 epsilon chain other
TEPOTINIB,[],Small molecule,neoplasm,Hepatocyte growth factor receptor,MET,Enzyme,Hepatocyte growth factor receptor inhibitor
TEPOTINIB HYDROCHLORIDE,['Tepmetko'],Small molecule,non-small cell lung carcinoma,Hepatocyte growth factor receptor,MET,Enzyme,Hepatocyte growth factor receptor inhibitor
TEPROTUMUMAB,['Tepezza'],Antibody,Graves ophthalmopathy,Insulin-like growth factor 1 receptor,IGF1R,Enzyme,Insulin-like growth factor I receptor antagonist
TERAZOSIN,[],Small molecule,benign prostatic hyperplasia,Adrenergic receptor alpha-1,"ADRA1A, ADRA1B, ADRA1D",Membrane receptor,Adrenergic receptor alpha-1 antagonist
TERAZOSIN HYDROCHLORIDE,['Benph' 'Hytrin' 'Hytrin bph' 'Terazosin hydrochloride' 'Tezruly'],Small molecule,benign prostatic hyperplasia,Adrenergic receptor alpha-1,"ADRA1A, ADRA1B, ADRA1D",Membrane receptor,Adrenergic receptor alpha-1 antagonist
TERBUTALINE,[],Small molecule,Airway obstruction,Beta-2 adrenergic receptor,ADRB2,Membrane receptor,Beta-2 adrenergic receptor agonist
